 ! Fichier pour convertir les lettres grecques de Beta-Code en Utf-8 et réciproquement				
 ! Dans le sens Beta-Code --> utf-8, l'ordre a son importance :				
 ! - les lettres les plus décorées passent devant  !				
 ! Pour le sens utf-8 --> betacode, j'ai gardé les alpha […] with tonos,				
 ! qu'il ne faut pas utiliser (remplacés par alpha […] with oxia).				
 !				
 ! Philippe, juin 2014.				
 !				
*q	U+0398	Θ	206152	GREEK CAPITAL LETTER THETA
*i	U+0399	Ι	206153	GREEK CAPITAL LETTER IOTA
*k	U+039A	Κ	206154	GREEK CAPITAL LETTER KAPPA
*l	U+039B	Λ	206155	GREEK CAPITAL LETTER LAMDA
*m	U+039C	Μ	206156	GREEK CAPITAL LETTER MU
*n	U+039D	Ν	206157	GREEK CAPITAL LETTER NU
*c	U+039E	Ξ	206158	GREEK CAPITAL LETTER XI
*o	U+039F	Ο	206159	GREEK CAPITAL LETTER OMICRON
*p	U+03A0	Π	206160	GREEK CAPITAL LETTER PI
*r	U+03A1	Ρ	206161	GREEK CAPITAL LETTER RHO
*s	U+03A3	Σ	206163	GREEK CAPITAL LETTER SIGMA
*t	U+03A4	Τ	206164	GREEK CAPITAL LETTER TAU
*u	U+03A5	Υ	206165	GREEK CAPITAL LETTER UPSILON
*f	U+03A6	Φ	206166	GREEK CAPITAL LETTER PHI
*x	U+03A7	Χ	206167	GREEK CAPITAL LETTER CHI
*y	U+03A8	Ψ	206168	GREEK CAPITAL LETTER PSI
*w	U+03A9	Ω	206169	GREEK CAPITAL LETTER OMEGA
i+	U+03CA	ϊ	207138	GREEK SMALL LETTER IOTA WITH DIALYTIKA
u+	U+03CB	ϋ	207139	GREEK SMALL LETTER UPSILON WITH DIALYTIKA
*v	U+03DC	Ϝ	207156	GREEK LETTER DIGAMMA
a)	U+1F00	ἀ	225188128	GREEK SMALL LETTER ALPHA WITH PSILI
a(	U+1F01	ἁ	225188129	GREEK SMALL LETTER ALPHA WITH DASIA
e)	U+1F10	ἐ	225188144	GREEK SMALL LETTER EPSILON WITH PSILI
e(	U+1F11	ἑ	225188145	GREEK SMALL LETTER EPSILON WITH DASIA
h)	U+1F20	ἠ	225188160	GREEK SMALL LETTER ETA WITH PSILI
h(	U+1F21	ἡ	225188161	GREEK SMALL LETTER ETA WITH DASIA
i)	U+1F30	ἰ	225188176	GREEK SMALL LETTER IOTA WITH PSILI
i(	U+1F31	ἱ	225188177	GREEK SMALL LETTER IOTA WITH DASIA
o)	U+1F40	ὀ	225189128	GREEK SMALL LETTER OMICRON WITH PSILI
o(	U+1F41	ὁ	225189129	GREEK SMALL LETTER OMICRON WITH DASIA
u)	U+1F50	ὐ	225189144	GREEK SMALL LETTER UPSILON WITH PSILI
u(	U+1F51	ὑ	225189145	GREEK SMALL LETTER UPSILON WITH DASIA
w)	U+1F60	ὠ	225189160	GREEK SMALL LETTER OMEGA WITH PSILI
w(	U+1F61	ὡ	225189161	GREEK SMALL LETTER OMEGA WITH DASIA
a\	U+1F70	ὰ	225189176	GREEK SMALL LETTER ALPHA WITH VARIA
a/	U+1F71	ά	225189177	GREEK SMALL LETTER ALPHA WITH OXIA
e\	U+1F72	ὲ	225189178	GREEK SMALL LETTER EPSILON WITH VARIA
e/	U+1F73	έ	225189179	GREEK SMALL LETTER EPSILON WITH OXIA
h\	U+1F74	ὴ	225189180	GREEK SMALL LETTER ETA WITH VARIA
h/	U+1F75	ή	225189181	GREEK SMALL LETTER ETA WITH OXIA
i\	U+1F76	ὶ	225189182	GREEK SMALL LETTER IOTA WITH VARIA
i/	U+1F77	ί	225189183	GREEK SMALL LETTER IOTA WITH OXIA
o\	U+1F78	ὸ	225189184	GREEK SMALL LETTER OMICRON WITH VARIA
o/	U+1F79	ό	225189185	GREEK SMALL LETTER OMICRON WITH OXIA
u\	U+1F7A	ὺ	225189186	GREEK SMALL LETTER UPSILON WITH VARIA
u/	U+1F7B	ύ	225189187	GREEK SMALL LETTER UPSILON WITH OXIA
w\	U+1F7C	ὼ	225189188	GREEK SMALL LETTER OMEGA WITH VARIA
w/	U+1F7D	ώ	225189189	GREEK SMALL LETTER OMEGA WITH OXIA
a_	U+1FB1	ᾱ	225190177	GREEK SMALL LETTER ALPHA WITH MACRON
a|	U+1FB3	ᾳ	225190179	GREEK SMALL LETTER ALPHA WITH YPOGEGRAMMENI
a=	U+1FB6	ᾶ	225190182	GREEK SMALL LETTER ALPHA WITH PERISPOMENI
h|	U+1FC3	ῃ	225191131	GREEK SMALL LETTER ETA WITH YPOGEGRAMMENI
h=	U+1FC6	ῆ	225191134	GREEK SMALL LETTER ETA WITH PERISPOMENI
i_	U+1FD1	ῑ	225191145	GREEK SMALL LETTER IOTA WITH MACRON
i=	U+1FD6	ῖ	225191150	GREEK SMALL LETTER IOTA WITH PERISPOMENI
r)	U+1FE4	ῤ	225191164	GREEK SMALL LETTER RHO WITH PSILI
r(	U+1FE5	ῥ	225191165	GREEK SMALL LETTER RHO WITH DASIA
u=	U+1FE6	ῦ	225191166	GREEK SMALL LETTER UPSILON WITH PERISPOMENI
